user_id,device_id,mean_acc,std_acc,status
3_s10e,#01,87.64,1.36,OK
3_s10e,#02,83.9,4.12,OK
4_s10e,#05,76.0,3.35,OK
5_s10e,#01,90.51,1.28,OK
5_s10e,#00,93.39,1.68,OK
6_s10e,#04,87.65,2.19,OK
4_s10e,#01,82.63,3.18,OK
3_s10e,#00,91.1,0.92,OK
2_s10e,#04,83.02,1.17,OK
2_s10e,#05,77.16,1.64,OK
1_s10e,#01,95.88,0.98,OK
6_s10e,#03,87.59,1.07,OK
4_s10e,#04,78.6,3.88,OK
2_s10e,#02,80.81,2.09,OK
5_s10e,#05,87.23,1.96,OK
4_s10e,#00,95.62,2.69,OK
6_s10e,#05,87.06,1.58,OK
3_s10e,#04,91.74,2.07,OK
4_s10e,#03,77.59,3.99,OK
1_s10e,#03,95.59,1.12,OK
1_s10e,#00,94.06,0.96,OK
6_s10e,#02,92.29,0.72,OK
5_s10e,#04,92.84,1.74,OK
1_s10e,#02,95.82,0.91,OK
2_s10e,#03,89.48,0.7,OK
1_s10e,#05,96.17,2.48,OK
5_s10e,#02,85.68,2.63,OK
2_s10e,#00,80.81,1.89,OK
6_s10e,#01,85.38,1.48,OK
